amfi_code,date,nav,daily_return
120001,2022-01-02,90.11,0.019689940024895325
120001,2022-01-03,88.33,-0.019753634446787238
120001,2022-01-04,89.36,0.011660817389335554
120001,2022-01-05,90.1,0.008281110116383106
120001,2022-01-06,89.15,-0.010543840177580366
120001,2022-01-07,90.21,0.011890072910824223
120001,2022-01-08,90.59,0.00421239330451173
120001,2022-01-09,90.28,-0.0034220112595209073
120001,2022-01-10,89.28,-0.01107665042091277
120001,2022-01-11,89.83,0.006160394265232849
120001,2022-01-12,89.24,-0.0065679617054436035
120001,2022-01-13,88.06,-0.013222770058269773
120001,2022-01-14,87.79,-0.003066091301385354
120001,2022-01-15,87.43,-0.004100694839959007
120001,2022-01-16,87.53,0.0011437721605855877
120001,2022-01-17,87.42,-0.001256711984462422
120001,2022-01-18,88.52,0.01258293296728441
120001,2022-01-19,89.18,0.007455942159964035
120001,2022-01-20,89.07,-0.0012334604171340136
120001,2022-01-21,88.31,-0.008532614797350346
120001,2022-01-22,89.4,0.012342883025704854
120001,2022-01-23,90.15,0.008389261744966348
120001,2022-01-24,92.59,0.027066001109262272
120001,2022-01-25,92.88,0.0031320876984555213
120001,2022-01-26,94.45,0.016903531438415165
120001,2022-01-27,94.93,0.00508205399682371
120001,2022-01-28,95.06,0.0013694301063942316
120001,2022-01-29,93.67,-0.01462234378287397
120001,2022-01-30,94.39,0.007686559197181531
120001,2022-01-31,93.65,-0.007839813539569862
120001,2022-02-01,93.21,-0.004698344901228113
120001,2022-02-02,93.22,0.00010728462611320211
120001,2022-02-03,93.01,-0.0022527354644925612
120001,2022-02-04,91.6,-0.015159660251585994
120001,2022-02-05,90.92,-0.007423580786026118
120001,2022-02-06,91.81,0.00978882534095904
120001,2022-02-07,92.48,0.007297679991286277
120001,2022-02-08,93.17,0.007461072664359802
120001,2022-02-09,93.38,0.002253944402704766
120001,2022-02-10,94.04,0.007067894624116722
120001,2022-02-11,94.32,0.00297745640153102
120001,2022-02-12,94.2,-0.0012722646310431296
120001,2022-02-13,95.35,0.012208067940551848
120001,2022-02-14,95.16,-0.0019926586261143076
120001,2022-02-15,94.48,-0.007145859604875904
120001,2022-02-16,95.67,0.012595258255715391
120001,2022-02-17,96.9,0.01285669488867991
120001,2022-02-18,95.42,-0.015273477812177583
120001,2022-02-19,96.08,0.00691678893313763
120001,2022-02-20,94.16,-0.019983347210657754
120001,2022-02-21,95.22,0.011257434154630541
120001,2022-02-22,94.37,-0.008926696072253715
120001,2022-02-23,95.16,0.00837130443997025
120001,2022-02-24,94.62,-0.00567465321563676
120001,2022-02-25,94.99,0.003910378355527211
120001,2022-02-26,93.72,-0.013369828402989725
120001,2022-02-27,93.51,-0.0022407170294493906
120001,2022-02-28,93.5,-0.00010694043417824872
120001,2022-03-01,94.44,0.010053475935828837
120001,2022-03-02,96.18,0.01842439644218552
120001,2022-03-03,96.79,0.006342274901226963
120001,2022-03-04,97.13,0.0035127595826014435
120001,2022-03-05,96.18,-0.009780706269947426
120001,2022-03-06,94.86,-0.013724266999376233
120001,2022-03-07,95.09,0.0024246257642841496
120001,2022-03-08,95.26,0.001787779997896699
120001,2022-03-09,95.89,0.006613478899853087
120001,2022-03-10,96.62,0.007612889769527564
120001,2022-03-11,97.01,0.00403643138066645
120001,2022-03-12,95.64,-0.01412225543758383
120001,2022-03-13,96.54,0.00941028858218318
120001,2022-03-14,96.49,-0.0005179200331469902
120001,2022-03-15,95.61,-0.009120116074204487
120001,2022-03-16,95.26,-0.0036607049471811814
120001,2022-03-17,93.98,-0.013436909510812556
120001,2022-03-18,93.7,-0.002979357310065933
120001,2022-03-19,94.45,0.008004268943436532
120001,2022-03-20,94.19,-0.0027527792482795466
120001,2022-03-21,93.43,-0.008068797112219861
120001,2022-03-22,93.23,-0.0021406400513753754
120001,2022-03-23,93.71,0.005148557331331016
120001,2022-03-24,92.49,-0.013018888058905165
120001,2022-03-25,91.59,-0.009730781706130287
120001,2022-03-26,91.76,0.001856097827273695
120001,2022-03-27,90.66,-0.01198779424585883
120001,2022-03-28,92.46,0.01985440105890146
120001,2022-03-29,92.37,-0.0009733939000647895
120001,2022-03-30,91.58,-0.008552560355093664
120001,2022-03-31,90.87,-0.007752784450753336
120001,2022-04-01,90.48,-0.0042918454935622075
120001,2022-04-02,90.01,-0.005194518125552605
120001,2022-04-03,88.17,-0.02044217309187868
120001,2022-04-04,89.33,0.013156402404445933
120001,2022-04-05,89.36,0.00033583342662035776
120001,2022-04-06,89.38,0.00022381378692926113
120001,2022-04-07,90.16,0.008726784515551644
120001,2022-04-08,89.25,-0.010093167701863304
120001,2022-04-09,88.62,-0.007058823529411673
120001,2022-04-10,89.07,0.005077860528097444
120001,2022-04-11,89.06,-0.00011227124733348415
120001,2022-04-12,89.41,0.003929934875364749
120001,2022-04-13,89.38,-0.0003355329381501404
120001,2022-04-14,89.21,-0.0019019914969792273
120001,2022-04-15,90.53,0.01479654747225645
